title,option1,option2,option3,option4,answer,solution
다음 중 310관 지하 4층에 없는 것은?,우체국,미용실,식당,은행,4,은행은 102관 지하1층에 있습니다
중앙대학교 이메일로 제공받을수 있는 서비스로 내용이 알맞지 않은 것은?,Adobe Creative Cloud를 60% 이상 할인받을 수 있다,MATLAB 을 무료로 이용할 수 있다,Office 365 제품을 무료로 사용할 수 있다.,Notion 개인 프로 요금제를 50% 할인가로 사용할 수 있다.,4,노션 개인 프로 요금제는 무료로 사용할 수 있습니다.
다음 중 교내에 없는 카페는?,뚜레쥬르,카페드림,이디야,블루포트,3,"뚜레쥬르와 카페드림은 310관에, 블루포트는 301관과 102관에 있습니다"
중앙도서관 이용방법 중 알맞지 않은 것은?,마우스는 오직 노트북석에서만 사용할 수 있다,일반적으로 21시 이후에는 발권할 필요가 없다,발권은 발권전용 앱으로도 가능하다.,착석한 이후 5시간 이상 이용하려면 연장을 해야한다.,1,중앙도서관에서는 마우스 사용하지 마세요
중앙대의 성적 평가 방식에 대해 알맞지 않은 것은?,A학점 이상은 35% 이내로 부여 가능하다,D+ 이하 학점은 5% 이상 부여되어야 한다,영어A과목의 경우 A학점 이상은 50% 이내로 부여 가능하다.,중간/기말에서 모두 1등을 하면 B+을 받을 일은 없다.,4,모든 등급은 비율 범위 내에서 교/강사 재량입니다
다음 중 중앙대학교에 없는 학과(부)는?,산업보안학과,산업공학과,도시계획부동산학과,AI학과,2,중앙대에 산업공학과는 없습니다
다음 중 핵심교양의 영역으로 알맞지 않은것은?,도전,융합,창의,사회,4,"핵심교양은 도전, 융합, 창의, 신뢰, 소통으로 총 다섯가지 영역이 있습니다"
복수전공에 대한 내용중 알맞지 않은 것은?,복수전공 심사 시 신청자의 학업성적 및 별도의 평가 요소를 둘 수 있다,복수전공은 합격을 기준으로 2회까지 신청 가능하다,복수전공을 취소한 학과에는 재신청을 할 수 없다.,신입학자는 주전공학과(부)에서 1학기 이상 이수시 신청자격이 부여된다.,4,"복수전공 신청 자격 : 신입학자는 주전공학과(부)에서 2학기 이상, 편입학자는 주전공학과(부)에서 1학기 이상 이수하고 평균평점이 2.00 이상인 자"
전과에 대한 내용중 알맞지 않은 것은?,"전과는 2~3학년에만 할 수 있으며, 4학년에는 제한된다",전과는 계열에 관계없이 지원할 수 있다,전과는 재학 중 1번만 할 수 있다.,전과 합격 후 취소하는 경우 다시 전과에 지원할 수 없다.,1,학사행정에 따르면 4학년도 전과를 할 수 있습니다
제적요건에 대해 알맞지 않은 것은?,이중학적 보유자,등록금 미납자,학사경고를 연속 3회 받은 자,당해학기 성적 평균평점 1.75 미달자,4,4번은 학사경고 요건입니다
융합전공에 해당하지 않는 것은?,소프트웨어벤처,창업학,사이버보안,공기업관리,4,공기업관리는 연계전공입니다
102관에 대한 설명으로 알맞은 것은?,R&D 센터라고도 불린다,주로 인문대가 사용하는 건물이다,뚜레쥬르가 있다.,동아리실이 모여있다.,1,102관은 약학대 건물로 R&D센터라고도 불립니다
다음중 중앙대 공식 앱이 아닌 것은?,중앙더하기,중앙대학교 e-ID,LearningXStudent,e-Advisor,3,LearningXStudent 는 eclass 서비스를 모바일에서 사용하기 위한 앱이며 중앙대에서 제공하는 앱은 아닙니다
다음 중 동아리명과 활동으로 알맞지 않게 연결된 것은?,비꼼 - 자유토론,리베로 - 배구,중앙유도회 - 유도,코스모스 - 천체관측,2,리베로는 축구 동아리입니다
다음 중 동아리명과 활동으로 알맞지 않게 연결된 것은?,쏜살 - 런닝,블루 드래곤 - 락밴드,(중)앙상추 - 텃밭 가꾸기,사랑터 - 탁아 봉사,4,쏜살은 국궁 동아리입니다
다음 중 동아리명과 활동으로 알맞지 않게 연결된 것은?,의혈검 - 대한검도,손짓사랑 - 수어 봉사,CIEN - 게임 제작,라켓단 - 테니스,4,라켓단은 탁구 동아리입니다
다음 중 공통교양이 아닌 과목은?,컴퓨팅적사고와 인공지능리터러시,ACT,앙트레프레너십시대의 회계,현대사회의쟁점,4,현대사회의쟁점은 '신뢰'영역에 해당하는 핵심 교양입니다
다음 중 공통교양이 아닌 과목은?,글쓰기,COMMUNICATION IN ENGLISH,다빈치명저읽기,창의와소통,3,다빈치명저읽기는 '창의'영역에 해당하는 핵심 교양입니다
교과 체계에 대한 설명으로 알맞지 않은 것은?,전공은 '전공필수' 와 '전공(전공선택)'으로 나뉜다,전공기초는 전공에 포함된다,"교양은 '공통교양','핵심교양','선택교양'으로 나뉜다.",공통교양은 모두 이수해야 한다.,2,전공기초는 전공에 포함되지 않습니다
학사 일정에 대한 설명으로 알맞지 않은 것은?,8주차와 16주차는 공식적인 시험주차이다,4주차에는 수강과목을 취소할 수 있다,1주차에는 수강과목 정정이 이루어진다.,재학생 등록기간은 수강신청 이전이다.,4,재학생 등록은 수강신청 이후에 진행됩니다
학교 식당이 있는 건물이 아닌 것은?,310관,308관,309관,104관,4,"310관에는 참슬기 식당,  308관과 309관엔 생활관식당이 있습니다. 104관은 자연과학대학교 건물이다."
다음 중 알맞은 것은?,복수전공을 필수로 해야한다,부전공은 학위가 나온다,한자는 공통교양이다.,핵심교양에는 5가지 항목이 있다.,4,전공심화를 하면 복수전공은 필수가 아니지만 전공심화를 하지 않는다면 융합전공 또는 복수전공을 이수해야한다. 복수전공을 이수해야 학위가 나온다. 한자는 공통교양이 아닌 핵심교양이다.
핵심 교양에 대한 설명으로 알맞은 것은?,핵심교양 중 5과목만 들으면 된다,계절학기에도 핵심교양은 열린다,핵심 교양의 이수학점은 모두 2학점이다.,1학년 1학기엔 핵심교양을 신청할 수 없다. ,2,핵심교양 5가지 항목에 해당하는 수업을 하나씩 필수적으로 들어야한다. 핵심교양의 이수학점은 3학점이다. 수강정정기간엔 핵심교양을 신청할 수 있다.  
레인보우 시스템에 대한 설명으로 알맞지 않은 것은?,비교과 수업을 듣고 마일리지를 쌓을 수 있다,레인보우 시스템 마일리지는 매년 초기화 된다,교수님과 상담예약을 할 수 있다. ,취업 관련 정보를 얻을 수 있다. ,2,레인보우 시스템 마일리지는 누적되어 쌓입니다. 
다음 중 알맞은 것은?,카우버거는 102관에 있다,학식은 아무때나 먹을 수 있다,학식과 카우버거는 페이코로 결제할 수 없다.,생활관 식당은 누구나 먹을 수 있다.,4,카우버거는 310관 지하 4층에 있다. 학식은 먹을 수 있는 시간이 정해져 있다. 학식과 카우버거는 페이코로 결제할 수 있다. 
